u,g,r,i,z,redshift
18.22607,16.38819,15.58703,15.20104,14.8965,0.05027183
20.58576,18.57729,17.57778,17.10186,16.74975,0.1121374
19.24314,17.84716,16.96612,16.55535,16.21722,0.172463
22.82803,22.29124,20.76217,19.35051,18.89882,0.6642923
20.01741,17.94016,16.83561,16.3679,15.98567,0.1402729
21.84141,21.56628,20.67924,19.82958,19.48572,0.6965179
23.40459,22.06829,20.3158,19.56755,19.14897,0.4309545
21.97343,21.08449,19.91509,19.20787,18.68853,0.5817635
24.58228,22.16382,20.4386,19.61263,19.19452,0.418708
19.2789,17.42368,16.58945,16.17398,15.87875,0.07615651
21.44658,19.00613,17.56502,17.05099,16.70572,0.2521555
22.71972,21.80294,20.67109,19.93916,19.49863,0.5531701
24.54096,22.24401,20.66391,19.67833,19.0661,0.5526081
25.23688,22.44629,20.70246,19.67283,19.28175,0.5488032
24.10096,21.86778,20.24062,19.45224,19.09393,0.5137013
19.80672,18.10198,17.27623,16.96487,16.73107,0.1631002
18.67185,17.11545,16.47478,16.18909,15.94063,0.04756837
22.45463,21.04111,19.30768,18.4898,17.95827,0.4652758
20.03834,18.39328,17.56905,17.12178,16.86722,0.1324122
23.05628,20.57198,18.88211,18.3363,18.03898,0.3815838
20.74061,19.89096,19.75084,19.0902,18.91457,0.1306224
20.78319,18.37877,17.26178,16.81164,16.47566,0.1654301
19.55854,17.49442,16.55049,16.11569,15.76657,0.08767021
23.8061,21.90848,20.87101,19.78782,19.14464,0.6133803
24.94515,22.10427,20.25844,19.41387,19.00693,0.5010045
23.28586,21.92645,20.43162,19.62021,19.36279,0.4874431
19.88931,18.87046,18.46821,18.22383,18.10508,0.1337825
22.31651,21.39531,19.5138,18.83695,18.37911,0.3970193
24.18206,22.31009,21.04986,20.07918,19.52083,0.5794256
20.75819,18.74445,17.59767,17.15384,16.83041,0.1829304
24.91972,20.74069,18.95116,18.42174,18.19117,0.4025879
23.36652,20.78894,19.10641,18.34346,17.93509,0.4561903
20.37392,19.08954,18.36299,17.94887,17.71888,0.2002716
19.57908,18.64311,18.27357,17.93402,17.88466,0.1193093
20.02806,19.73353,19.07057,18.33931,18.09735,0.2174089
19.93963,18.50255,17.78685,17.37667,17.03089,0.0648766
21.71768,20.66315,19.57201,19.11584,18.77963,0.2547736
